,ME,ME,ME,ME,ME,ME,ME,ME,MAE,MAE,MAE,MAE,MAE,MAE,MAE,MAE,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE
,Naive,SeasonalNaive,AutoETS,AutoARIMA,LightGBM,NBEATS,NHITS,Chronos,Naive,SeasonalNaive,AutoETS,AutoARIMA,LightGBM,NBEATS,NHITS,Chronos,Naive,SeasonalNaive,AutoETS,AutoARIMA,LightGBM,NBEATS,NHITS,Chronos,Naive,SeasonalNaive,AutoETS,AutoARIMA,LightGBM,NBEATS,NHITS,Chronos
unique_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hotel_42,-0.031203007518796965,0.04213418160786581,-0.025478828679866155,0.005353312723077752,-0.03444708002415693,0.018953181040500748,-0.04572442995288459,0.22867688226210306,0.2994505494505495,0.2731925968768074,0.24959359787721688,0.23107405087078073,0.37341703020452516,0.24616009097281324,0.29164762551416334,0.27307187365341073,0.36313829285043037,0.33929944765263914,0.3029833582691115,0.2618550283276435,0.4541865313286984,0.2994332041342349,0.36466482768328573,0.34641246978039375,,,,,,,,
hotel_49,0.07601372426699941,0.0525577043044292,0.027150496768991218,0.06835988551312018,-0.01700172529815837,0.03080883640575171,0.06395633962848969,0.076196754162786,0.0956019962570181,0.08724266999376169,0.08103343637838521,0.08666394296515956,0.117773089849846,0.09763501539910055,0.09239187427260172,0.08619035193679188,0.12261947861141745,0.11420994077403405,0.09803332511753284,0.11045616350675132,0.15212024890711245,0.11999931470612883,0.11568485780738591,0.11549032015543625,,,,,,,,
hotel_56,0.008273809523809532,0.005178571428571425,-0.009892571712809361,-0.027579589822683447,-0.0816579340478809,-0.0027495792082377845,0.0019644371952329343,0.035230381233351565,0.06053571428571428,0.043511904761904766,0.06125870083912689,0.07116457567803132,0.10238444058251102,0.052866408739771165,0.04960787043685005,0.04095530143805913,0.09278805427355946,0.07957912604186668,0.08204096797108774,0.0839734237002674,0.13286274245427776,0.07625527588941655,0.07722315515107474,0.08586180709359953,,,,,,,,
hotel_63,0.16161904761904763,-0.023142857142857142,0.03229409986081441,-0.013310712556036622,-0.06655141787498459,0.011263071017605916,-0.0069626337545258725,0.09252259775570462,0.19673015873015873,0.20295238095238094,0.14551247341130602,0.16696522631910343,0.21246968431941604,0.16835461750200817,0.16864258348090308,0.1777760846841903,0.2560751102335578,0.25986049710208864,0.18105146946950532,0.19797973552165327,0.26669159440361295,0.20961790224219345,0.2166580405896169,0.23342248244344552,,,,,,,,
hotel_7,0.11936947417403446,0.005688692415076781,0.012728458463046707,-0.0064001456625049575,-0.06436246683732569,-0.04403443068626483,-0.024053038426156154,0.020239630891395865,0.14424150767798977,0.1091321544904607,0.10481417882062626,0.10700025073210291,0.1898742574227578,0.10777004386184381,0.10687161151123857,0.10759981079551441,0.19222691749859397,0.1439197520191135,0.13244983263911958,0.13068710026783634,0.24039592023999304,0.13540873098713696,0.13275119674788405,0.12970016914572174,,,,,,,,
hotel_70,-6.265664160401498e-05,-0.029135338345864664,-0.09804910489786062,-0.02976902302023298,-0.13398001953112715,0.011077809380484114,-0.026841855215324197,0.01281738615872567,0.06046365914786968,0.08602756892230576,0.10352192427419823,0.07153907327391808,0.1451640148637244,0.09337997060633244,0.11891523304775843,0.06819453370152859,0.07542985319735593,0.10653987649825435,0.12651050013128645,0.09154720035539347,0.19658977847290612,0.11718429776773508,0.14111184540632968,0.0835989062074423,,,,,,,,
hotel_77,0.0014812955059000754,2.5106703489831777e-05,0.002325989186525933,0.0018105599212784073,-0.007205663911107697,-0.002875407864811975,-0.0019585521424122804,,0.002560883755962842,0.0014812955059000754,0.005047350239049217,0.0030170797643702544,0.012488668023658696,0.003832631325635647,0.002734633771350274,,0.004451043965719795,0.002794636627535904,0.0065969756580851946,0.005580188685990763,0.0196653932828729,0.005406404903223733,0.0041526684671063215,,,,,,,,,
hotel_84,0.0864804745427583,0.0022491349480968856,-0.027104510362091695,-0.04679745352856231,0.17630104617442513,0.01695710790301689,0.0002266209821151856,0.07330077926320308,0.20056846267918932,0.1795600593178448,0.1622183714580846,0.1968227638836405,0.30281300103124553,0.1859457705621076,0.18460275874285786,0.17381001530464663,0.2542008095510739,0.22238338879572822,0.20096623798416452,0.2539397928831167,0.3866609918162388,0.2657769570614296,0.2518935340995301,0.22451734904520648,,,,,,,,
hotel_91,-0.03434991974317815,-0.030497592295345103,-0.039598194175355705,-0.041236173772614314,-0.010214435125431603,-0.03646106422665031,-0.06659586025853408,0.05019102798323379,0.1858747993579454,0.19165329052969501,0.16465781510097457,0.1708375613673538,0.2152084727282189,0.16489193123043253,0.19206488899778976,0.1554700100546281,0.24574948127299223,0.24535286210812754,0.21187209136222604,0.20071902377090187,0.2686850302318985,0.20743884393288065,0.24122484519606865,0.1940942534261857,,,,,,,,
hotel_98,0.09320276497695852,0.024078341013824885,0.015841331217046832,0.01850015367370794,-0.043907993685843485,-0.014286653239125487,-0.02362429522973601,-0.024987416096409348,0.19032258064516128,0.14838709677419354,0.14760827462766368,0.1375245640658166,0.22997106049071592,0.1386859700993596,0.13547134449542395,0.12218568076117796,0.21741954286253132,0.20416358863212003,0.18129107862719349,0.16756993151101346,0.28810606469245653,0.1807146477860679,0.17841310127304563,0.16832561451040626,,,,,,,,
