unique_id,ds,Naive,SeasonalNaive,AutoETS,AutoARIMA,LightGBM,AutoNBEATS,AutoNHITS,Chronos,y
hotel_0,2023-06-03,0.691358024691358,0.9753086419753086,0.6651701798416771,0.7613336942111165,0.8516154323074845,0.7659513,0.7647351,0.7902922630310059,0.8641975308641975
hotel_0,2023-06-04,0.691358024691358,0.8888888888888888,0.44619812577350415,0.7465512449005473,0.43730189279353865,0.46415597,0.53816813,0.8418331146240234,0.5061728395061729
hotel_0,2023-06-05,0.691358024691358,0.2716049382716049,0.4630176387175448,0.516885165602238,0.41416706242462215,0.46319142,0.5055158,0.6643036603927612,0.7407407407407407
hotel_0,2023-06-06,0.691358024691358,0.2962962962962963,0.4974787656284047,0.5332967875251018,0.5532238917367229,0.57299775,0.56269956,0.6643036603927612,0.7530864197530864
hotel_0,2023-06-07,0.691358024691358,0.3950617283950617,0.49463782357505137,0.576086646741564,0.6311743677589636,0.5560153,0.5990977,0.692937433719635,0.7530864197530864
hotel_0,2023-06-08,0.691358024691358,0.43209876543209874,0.5302349726523373,0.5933336073773986,0.5538670079655277,0.56705874,0.6435936,0.692937433719635,0.6049382716049383
hotel_0,2023-06-09,0.691358024691358,0.691358024691358,0.6383032223681587,0.695987327965239,0.5744613053123326,0.70570034,0.7315255,0.8017457723617554,0.7901234567901234
hotel_0,2023-06-10,0.691358024691358,0.9753086419753086,0.6651701798416771,0.724392186006443,0.736873823776088,0.7482688,0.7540395,0.8246528506278992,0.8518518518518519
hotel_0,2023-06-11,0.691358024691358,0.8888888888888888,0.44619812577350415,0.7194194962038449,0.27948518972918335,0.4790963,0.5254811,0.853286623954773,0.5308641975308642
hotel_0,2023-06-12,0.691358024691358,0.2716049382716049,0.4630176387175448,0.6306196941496885,0.13414729754487467,0.45163217,0.48639405,0.7902922630310059,0.7407407407407407
hotel_0,2023-06-13,0.691358024691358,0.2962962962962963,0.4974787656284047,0.6373269778103192,0.2872260525214668,0.5255945,0.5716735,0.7673853039741516,0.7901234567901234
hotel_0,2023-06-14,0.691358024691358,0.3950617283950617,0.49463782357505137,0.6541764703693291,0.45177541543864924,0.5876367,0.6087773,0.876193642616272,0.8271604938271605
hotel_0,2023-06-15,0.691358024691358,0.43209876543209874,0.5302349726523373,0.6610196713667584,0.4371360940994007,0.64896524,0.6371869,0.8647401332855225,0.7901234567901234
hotel_0,2023-06-16,0.691358024691358,0.691358024691358,0.6383032223681587,0.7010239198640732,0.5324442614012757,0.75777,0.74279404,0.9391879439353943,0.8395061728395061
hotel_0,2023-06-17,0.691358024691358,0.9753086419753086,0.6651701798416771,0.7121263169071735,0.697196248706712,0.7622254,0.7431481,0.9391879439353943,1.0246913580246915
hotel_0,2023-06-18,0.691358024691358,0.8888888888888888,0.44619812577350415,0.7102300793120815,0.27756264611529263,0.50273156,0.5349002,0.9506414532661438,0.6419753086419753
hotel_0,2023-06-19,0.691358024691358,0.2716049382716049,0.4630176387175448,0.6757257250402153,-0.0008973211974243611,0.4524651,0.5000919,0.8876471519470215,0.5308641975308642
hotel_0,2023-06-20,0.691358024691358,0.2962962962962963,0.4974787656284047,0.6783494452154577,0.11682692146256662,0.546849,0.55349183,0.9277344942092896,0.7283950617283951
hotel_0,2023-06-21,0.691358024691358,0.3950617283950617,0.49463782357505137,0.6849113033994628,0.25194123675563806,0.5441766,0.5961143,0.8991006016731262,0.7160493827160493
hotel_0,2023-06-22,0.691358024691358,0.43209876543209874,0.5302349726523373,0.6875787793928271,0.2365479087979862,0.6240637,0.6141256,0.8647401332855225,0.7654320987654321
hotel_0,2023-06-23,0.691358024691358,0.691358024691358,0.6383032223681587,0.7031381424039458,0.37475820521704695,0.74521375,0.732474,0.9391879439353943,0.8148148148148148
