unique_id,ds,Naive,SeasonalNaive,AutoETS,AutoARIMA,LightGBM,NBEATS,NHITS,Chronos,y
hotel_0,2023-06-03,0.691358024691358,0.9753086419753086,0.6651701798416771,0.7613337031660539,0.8516154323074845,0.89766204,0.8407146,0.8418331146240234,0.8641975308641975
hotel_0,2023-06-04,0.691358024691358,0.8888888888888888,0.44619812577350415,0.7465512510002837,0.43730189279353865,0.4785892,0.6466631,0.7902922630310059,0.5061728395061729
hotel_0,2023-06-05,0.691358024691358,0.2716049382716049,0.4630176387175448,0.5168851579924566,0.41416706242462215,0.5414919,0.71662474,0.692937433719635,0.7407407407407407
hotel_0,2023-06-06,0.691358024691358,0.2962962962962963,0.4974787656284047,0.533296779318644,0.5532238917367229,0.5643936,0.7963167,0.6643036603927612,0.7530864197530864
hotel_0,2023-06-07,0.691358024691358,0.3950617283950617,0.49463782357505137,0.576086639673046,0.6311743677589636,0.6098217,0.7557297,0.6528501510620117,0.7530864197530864
hotel_0,2023-06-08,0.691358024691358,0.43209876543209874,0.5302349726523373,0.5933336003838665,0.5538670079655277,0.57121277,0.74657625,0.6814839243888855,0.6049382716049383
hotel_0,2023-06-09,0.691358024691358,0.691358024691358,0.6383032223681587,0.6959873257580027,0.5744613053123326,0.6927023,0.80118954,0.7902922630310059,0.7901234567901234
hotel_0,2023-06-10,0.691358024691358,0.9753086419753086,0.6651701798416771,0.7243921883337511,0.736873823776088,0.824722,0.8726245,0.8647401332855225,0.8518518518518519
hotel_0,2023-06-11,0.691358024691358,0.8888888888888888,0.44619812577350415,0.7194194968446143,0.27948518972918335,0.4971719,0.6580115,0.8017457723617554,0.5308641975308642
hotel_0,2023-06-12,0.691358024691358,0.2716049382716049,0.4630176387175448,0.6306196845691507,0.13414729754487467,0.784575,0.7288424,0.8017457723617554,0.7407407407407407
hotel_0,2023-06-13,0.691358024691358,0.2962962962962963,0.4974787656284047,0.6373269681931484,0.2872260525214668,0.92553174,0.8328038,0.692937433719635,0.7901234567901234
hotel_0,2023-06-14,0.691358024691358,0.3950617283950617,0.49463782357505137,0.6541764619703136,0.45177541543864924,0.8765439,0.7899732,0.7387514710426331,0.8271604938271605
hotel_0,2023-06-15,0.691358024691358,0.43209876543209874,0.5302349726523373,0.6610196632801104,0.4371360940994007,0.84137154,0.7636197,0.7387514710426331,0.7901234567901234
hotel_0,2023-06-16,0.691358024691358,0.691358024691358,0.6383032223681587,0.7010239156881555,0.5324442614012757,1.0004076,0.85572356,0.9620949625968933,0.8395061728395061
hotel_0,2023-06-17,0.691358024691358,0.9753086419753086,0.6651701798416771,0.7121263150414694,0.697196248706712,1.0535834,0.883943,0.8991006016731262,1.0246913580246915
hotel_0,2023-06-18,0.691358024691358,0.8888888888888888,0.44619812577350415,0.7102300766658347,0.27756264611529263,0.5947865,0.63624084,0.9391879439353943,0.6419753086419753
hotel_0,2023-06-19,0.691358024691358,0.2716049382716049,0.4630176387175448,0.6757257165888478,-0.0008973211974243611,0.6034558,0.7288818,0.8991006016731262,0.5308641975308642
hotel_0,2023-06-20,0.691358024691358,0.2962962962962963,0.4974787656284047,0.6783494368760083,0.11682692146256662,0.68244004,0.788033,0.9391879439353943,0.7283950617283951
hotel_0,2023-06-21,0.691358024691358,0.3950617283950617,0.49463782357505137,0.6849112958705657,0.25194123675563806,0.75690997,0.7634169,0.8647401332855225,0.7160493827160493
hotel_0,2023-06-22,0.691358024691358,0.43209876543209874,0.5302349726523373,0.6875787721201552,0.2365479087979862,0.8147288,0.74369127,0.7673853039741516,0.7654320987654321
hotel_0,2023-06-23,0.691358024691358,0.691358024691358,0.6383032223681587,0.7031381374660087,0.37475820521704695,0.9921794,0.83536494,0.7788387537002563,0.8148148148148148
hotel_0,2023-06-24,0.691358024691358,0.9753086419753086,0.6651701798416771,0.7074579206634981,0.5366282816838293,1.0566539,0.8984239,0.8131992816925049,0.9506172839506173
hotel_0,2023-06-25,0.691358024691358,0.8888888888888888,0.44619812577350415,0.7067223918635692,0.1095524032947725,0.6220614,0.66942716,0.8131992816925049,0.5061728395061729
hotel_0,2023-06-26,0.691358024691358,0.2716049382716049,0.4630176387175448,0.6933070219977531,-0.0990203798115036,0.7030395,0.7221292,0.8131992816925049,0.5802469135802469
hotel_0,2023-06-27,0.691358024691358,0.2962962962962963,0.4974787656284047,0.6943279739334994,0.025093096130634346,0.7334486,0.8059361,0.8647401332855225,0.691358024691358
hotel_0,2023-06-28,0.691358024691358,0.3950617283950617,0.49463782357505137,0.6968799500772579,0.1460429906169832,0.69973755,0.7879776,0.8418331146240234,0.654320987654321
hotel_0,2023-06-29,0.691358024691358,0.43209876543209874,0.5302349726523373,0.6979174781103424,0.10748084389163982,0.70345354,0.7396904,0.8418331146240234,0.7160493827160493
